Pertanyaan,JawabanBenar,NamaGambar
Watashi wa ... o yomimasu (Membaca buku),HON,
... ga futte imasu (Hujan sedang turun),AME,
... o unten shimasu (Menyetir mobil),KURUMA,
... ni noborimasu (Mendaki gunung),YAMA,
... o kaimasu (Memelihara kucing),NEKO,
... o tabemasu (Makan ikan),SAKANA,
... o nomimasu (Minum air),MIZU,
... ga sakimashita (Bunga mekar),HANA,
... ga moete imasu (Api sedang membakar),HI,
... o akete kudasai (Buka gerbangnya),MON,
... ga takusan imasu (Ada banyak orang),HITO,
... o kirmasu (Memotong pohon/kayu),KI,
Kono ... wa omoshiroi desu (Buku ini menarik),HON,
Ano ... wa takai desu (Gunung itu tinggi),YAMA,
Kono ... wa kirei desu (Bunga ini cantik),HANA,
... wa tsumetai desu (Airnya dingin),MIZU,
... wa atsui desu (Apinya panas),HI,
... wa hayai desu (Mobilnya cepat),KURUMA,
... wa kawaii desu (Kucingnya lucu),NEKO,
... wa oishii desu (Ikannya enak),SAKANA,
... wa shinsetsu desu (Orang itu ramah),HITO,
... wa midori iro desu (Pohonnya berwarna hijau),KI,
... wa omoi desu (Gerbangnya berat),MON,
Ashita wa ... desu (Besok hujan),AME,
Kawa ni ... ga imasu (Di sungai ada ikan),SAKANA,
Niwa ni ... ga arimasu (Di halaman ada pohon),KI,
Tsukue no ue ni ... ga arimasu (Di atas meja ada buku),HON,
Michi ni ... ga tomatte imasu (Di jalan ada mobil berhenti),KURUMA,
Sora kara ... ga ochite kimashita (Hujan turun dari langit),AME,
Uchi no mae ni ... ga arimasu (Di depan rumah ada gerbang),MON,
Kotatsu no naka ni ... ga imasu (Di dalam kotatsu ada kucing),NEKO,
Koen ni ... ga takusan imasu (Di taman ada banyak orang),HITO,
Yama no ue ni ... ga arimasu (Di atas gunung ada bunga),HANA,
Umi no ... wa shoppai desu (Air laut itu asin),MIZU,
Tabako no ... wa abunai desu (Api rokok itu berbahaya),HI,
Nihon no ... wa Fujisan desu (Gunung Jepang adalah Fuji),YAMA,
... de te o araimasu (Mencuci tangan dengan air),MIZU,
... de ryokou shimasu (Traveling dengan mobil),KURUMA,
... de tzukutta tsukue (Meja yang terbuat dari kayu),KI,
... de nihongo o benkyou shimasu (Belajar bahasa Jepang dengan buku),HON,
... ga naku narimashita (Kucingnya hilang),NEKO,
... ga kaji no cause desu (Api adalah penyebab kebakaran),HI,
"... ga yandara, asobimashou (Kalau hujan berhenti, ayo main)",AME,
... ga kirei na kisetsu (Musim di mana bunga cantik),HANA,
... ga ooi machi (Kota yang banyak orangnya),HITO,
"... ga suki na tabemono (Makanan kesukaan ikan - salah, Ikan adalah makanan) -> Makanan ikan",SAKANA,
... ga shimatte imasu (Gerbangnya tertutup),MON,
... ga mieru heya (Kamar yang bisa melihat gunung),YAMA,
Tofu wa ... kara dekite imasu (Tahu terbuat dari air dan kedelai - fokus ke elemen cair),MIZU,
Kami wa ... kara dekite imasu (Kertas terbuat dari pohon),KI,
Gasorin de ugoku mono (Benda yang bergerak dengan bensin),KURUMA,
Monogatari ga kaite aru mono (Benda yang tertulis cerita),HON,
Nyan-nyan to naku doubutsu (Hewan yang berbunyi nyan-nyan),NEKO,
Suisu to oyogu doubutsu (Hewan yang berenang suisui),SAKANA,
Kotoba o hanasu doubutsu (Hewan/Makhluk yang bicara bahasa),HITO,
Ie no soto to naka o wakern mono (Pemisah luar dan dalam rumah area luar),MON,
Campfire de tsukau mono (Yang dipakai di api unggun),HI,
Hiking de iku tokoro (Tempat pergi hiking),YAMA,
Hanami de miru mono (Yang dilihat saat Hanami),HANA,
Kasa ga iru tenki (Cuaca yang butuh payung),AME,
"""Mokuyoubi"" no kanji",KI,
"""Kayoubi"" no kanji",HI,
"""Suiyoubi"" no kanji",MIZU,
"""Nihon"" no kanji (Hon)",HON,
"""Jinkou"" no kanji (Jin/Hito)",HITO,
"""Senmon"" no kanji (Mon)",MON,
"""Jitensha"" no kanji (Sha/Kuruma)",KURUMA,
"""Kazan"" no kanji (Zan/Yama)",YAMA,
"""Hanabi"" no kanji (Hana)",HANA,
"""Amaoto"" (Suara hujan) no kanji",AME,
"""Kingyo"" no kanji (Gyo/Sakana)",SAKANA,
"""Koneko"" (Anak kucing) no kanji",NEKO,
Watashi no ... (Buku saya),HON,
Anata no ... (Mobil anda),KURUMA,
Kanojo no ... (Bunga dia),HANA,
Kare no ... (Kucing dia),NEKO,
Sensei no ... (Buku guru),HON,
Gakkou no ... (Gerbang sekolah),MON,
Nihon no ... (Gunung Jepang),YAMA,
Umi no ... (Ikan laut),SAKANA,
Kawa no ... (Air sungai),MIZU,
Rōsoku no ... (Api lilin),HI,
Niwa no ... (Pohon di halaman),KI,
Sekai no ... (Orang-orang dunia),HITO,
Hageshii ... (Hujan deras),AME,
Akai ... (Bunga merah),HANA,
Aoi ... (Mobil biru),KURUMA,
Takai ... (Gunung tinggi),YAMA,
Oishii ... (Ikan enak),SAKANA,
Tsumetai ... (Air dingin),MIZU,
Atsui ... (Api panas),HI,
Omoi ... (Buku berat),HON,
Furui ... (Gerbang tua),MON,
Wakai ... (Orang muda),HITO,
Chiisai ... (Kucing kecil),NEKO,
Ookii ... (Pohon besar),KI,
Tsuyoi ... (Hujan kuat/lebat),AME,
Shiroi ... (Mobil putih),KURUMA,
Kuroi ... (Kucing hitam),NEKO,
Eigo no ... (Buku bahasa Inggris),HON,
